adult_no,child_no,weekend_nights_no,weekday_nights_no,lead_time,avg_price_per_room,special_requests_no,month,prev_show_rate,canceled
2,0,1,2,224,65,0,10,0.5,0
2,0,2,3,5,106.68,1,11,0.5,0
1,0,2,1,1,60,0,2,0.5,1
2,0,0,2,211,100,0,5,0.5,1
2,0,1,1,48,94.5,0,4,0.5,1
2,0,0,2,346,115,1,9,0.5,1
2,0,1,3,34,107.55,1,10,0.5,0
2,0,1,3,83,105.61,1,12,0.5,0
3,0,0,4,121,96.9,1,7,0.5,0
2,0,0,5,44,133.44,3,10,0.5,0
1,0,1,0,0,85.03,0,9,0.5,0
1,0,2,1,35,140.4,1,4,0.5,0
2,0,2,1,30,88,0,11,0.5,1
1,0,2,0,95,90,2,11,0.5,1
2,0,0,2,47,94.5,2,10,0.5,0
2,0,0,2,256,115,1,6,0.5,1
1,0,1,0,0,96,0,10,0.5,0
2,0,1,3,1,96,1,8,0.5,0
2,0,2,2,99,65,0,10,0.5,1
2,0,1,0,12,72,0,10,0.5,0
2,0,2,2,99,65,0,10,0.5,1
1,0,0,1,122,67,0,11,0.5,0
2,0,2,4,2,85,0,3,0.5,0
2,0,0,3,37,105,0,10,0.5,0
2,0,2,1,130,94.5,1,5,0.5,0
2,0,0,2,99,114.3,1,4,0.5,0
2,0,1,1,60,65,0,9,0.5,0
1,0,0,2,2,110,0,5,0.5,1
1,0,1,2,37,37.33,0,11,0.5,1
2,0,0,2,56,82,0,9,0.5,0
2,0,1,1,3,177.5,1,9,0.5,0
2,0,2,2,107,87.5,1,11,0.5,0
0,2,0,3,56,82.44,1,12,0.5,0
2,0,0,1,2,69.5,1,1,0.5,0
2,0,0,2,72,85.5,0,10,0.5,0
2,0,0,1,23,115,1,4,0.5,0
1,0,2,1,34,81,0,6,0.5,1
2,0,0,1,289,67,0,10,0.5,0
2,0,2,3,247,63.75,0,11,0.5,1
2,0,2,1,186,121.8,1,7,0.5,1
2,0,0,4,64,93.6,2,11,0.5,0
2,0,0,2,35,102,1,6,0.5,0
3,0,2,1,96,121.8,1,4,0.5,0
2,0,1,1,41,98.1,1,6,0.5,1
2,0,0,4,55,60,1,11,0.5,0
2,0,0,3,146,75,0,12,0.5,0
1,0,0,2,32,73,0,11,0.5,0
2,0,0,1,55,104,0,4,0.5,0
2,0,0,4,57,79.2,1,11,0.5,0
1,0,1,3,7,125.8,2,12,0.5,0
1,0,2,5,124,87.95,0,5,0.5,0
2,0,2,2,169,106,0,4,0.5,1
1,0,1,2,6,136.67,1,5,0.5,0
2,0,0,4,51,60,1,11,0.5,0
2,0,1,0,13,89,2,6,0.5,0
2,0,1,3,100,136,1,5,0.5,0
2,0,0,1,139,94.5,1,7,0.5,0
2,0,1,2,117,93.6,2,12,0.5,0
2,0,1,4,39,120.6,0,4,0.5,1
2,0,0,3,86,99.3,1,4,0.5,0
2,2,0,1,2,258,1,9,0.5,0
1,0,0,3,19,120.12,2,5,0.5,0
1,0,0,2,192,95,0,6,0.5,0
1,0,0,1,2,0,1,9,0.5,0
2,0,2,1,86,75,0,12,0.5,0
2,0,0,3,30,157.5,2,10,0.5,0
2,0,0,2,179,97.7,1,6,0.5,0
2,0,0,2,26,142,0,4,0.5,1
2,0,0,1,55,80,0,4,0.5,0
2,0,1,2,74,85.5,1,4,0.5,0
2,0,0,3,143,100,0,8,0.5,0
2,0,1,0,34,88,2,11,0.5,0
2,0,1,1,30,122.85,1,8,0.5,0
2,0,0,2,177,100,0,6,0.5,1
2,0,2,3,34,75,0,10,0.5,0
2,0,1,4,18,116.8,1,3,0.5,0
3,0,1,1,267,121.5,0,12,0.5,0
2,0,1,2,64,111.9,1,6,0.5,0
3,0,2,5,155,121.55,2,6,0.5,1
2,0,0,5,46,75,1,3,0.5,0
2,2,0,2,83,159.3,0,4,0.5,1
2,0,0,5,128,132.3,0,10,0.5,1
2,0,2,0,20,88,2,12,0.5,0
2,0,1,4,40,98.82,0,3,0.5,0
2,0,1,2,46,98.3,1,3,0.5,0
1,0,1,0,1,150,2,10,0.5,0
2,0,2,3,196,96.05,1,9,0.5,0
1,0,0,2,188,130,0,6,0.5,1
2,0,0,1,17,95,0,12,1,0
2,0,0,3,146,113.56,0,8,0.5,0
2,0,1,3,110,101.58,1,5,0.5,0
2,0,1,2,68,105.3,0,3,0.5,0
2,0,2,1,73,115.8,1,4,0.5,0
2,0,0,1,92,149.4,1,5,0.5,0
2,0,2,5,171,111.59,0,8,0.5,1
2,1,0,2,134,130.5,2,8,0.5,0
2,0,0,2,320,115,1,8,0.5,1
2,0,0,4,118,90.95,1,4,0.5,0
2,0,0,3,30,76.08,1,11,0.5,0
2,2,1,3,30,156.9,0,12,0.5,0
2,0,1,0,189,85.5,2,10,0.5,0
3,0,1,2,55,159.3,2,5,0.5,0
1,0,0,4,55,74.8,2,12,0.5,0
2,0,0,1,16,95,1,10,0.5,0
2,0,0,3,24,107,1,10,0.5,0
2,0,0,3,8,64,0,2,0.5,0
2,0,1,4,10,82.95,0,11,0.5,0
2,0,1,3,0,155,1,9,0.5,0
2,0,0,1,12,101.68,1,6,0.5,0
2,0,2,1,32,94.5,3,9,0.5,0
